"Card Names","Card Category","Annual Fee","Purchase Interest Rate","Cash Interest Rate","Benefits","Links"
"CIBC Aventura® Visa Infinite* Card","TRAVEL REWARDS CARDS","$139","20.99%","22.99% non-Quebec residents 21.99% Quebec residents","2 points per $1 on travel booked through the CIBC Rewards Centre4 1.5 points per $1 on eligible gas, electric vehicle charging, grocery and drugstore purchases5 Lounge access2 | NEXUSTM application fee rebate† | Visa* concierge service2","https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aventura-visa-infinite-card.html"
"CIBC Aeroplan® Visa Infinite* Card","TRAVEL REWARDS CARDS","$139","20.99%","22.99% non-Quebec residents 21.99% Quebec residents","1.5 points per $1 directly with Air Canada® and Air Canada Vacations®, 3 1.5 points per $1 on eligible gas, electric vehicle charging and groceries3 First bag free1, 6 | Visa* concierge service7, 8 | Preferred pricing9","https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aeroplan-visa-infinite-card.html"
"CIBC Aventura® Visa Infinite Privilege* Card","TRAVEL REWARDS CARDS","$499","20.99%","22.99% non-Quebec residents  21.99% Quebec residents","3 points per $1 on travel booked through the CIBC Rewards Centre7 2 points on eligible dining, transportation, gas, electric vehicle charging and groceries8 Annual travel credit3 | Lounge access2 | NEXUSTM, † fee rebate5 and more","https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aventura-visa-infinite-privilege-card.html"
"CIBC Aeroplan® Visa Infinite Privilege* Card ","TRAVEL REWARDS CARDS","$599","20.99%","22.99% non-Quebec residents 21.99% Quebec residents","2 points per $1 directly with Air Canada® and Air Canada Vacations®, 4 1.5 points per $1 on eligible gas, electric vehicle charging, groceries, travel and dining4 Lounge access6, 8 | First bag free† | Priority Airport Services6, 11","https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aeroplan-visa-infinite-privilege-card.html"
"CIBC Aventura® Gold Visa* Card","TRAVEL REWARDS CARDS","$139","20.99%","22.99% non-Quebec residents 21.99% Quebec residents","2 points per $1 on travel booked through the CIBC Rewards Centre5 1.5 points per $1 on eligible gas, electric vehicle charging, grocery and drugstore purchases6 Lounge access3 | NEXUSTM, † fee rebate8","https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aventura-gold-visa-card.html"
"CIBC Aventura® Visa* Card","TRAVEL REWARDS CARDS","$0","20.99%","22.99% non-Quebec residents 21.99% Quebec residents","1 point per $1 on travel booked through the CIBC Rewards Centre4 1 point per $1 on eligible gas, electric vehicle charging, grocery and drugstore purchases3 Book travel with personalized assistance6","https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aventura-visa-card.html"
"CIBC Aeroplan® Visa* Card","TRAVEL REWARDS CARDS","$0","20.99%","22.99% non-Quebec residents 21.99% Quebec residents","1 point per $1 directly with Air Canada® and Air Canada Vacations®, 2 1 point per $1 on eligible gas, electric vehicle charging and groceries2 Preferred pricing4 | Earn points twice at over 170 retailers3","https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aeroplan-visa-card.html"
"CIBC Aventura® Visa* Card for Students","STUDENT CARDS","$0
 ","20.99%","22.99% non-Quebec residents 21.99% Quebec residents","1 point per $1 on travel booked through the CIBC Rewards Centre4 1 point per $1 on eligible gas, electric vehicle charging, grocery and drugstore purchases3 Free SPC+ membership◇ | CIBC Pace ItTM Installment Plans♢♢","https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aventura-visa-for-students.html"
"CIBC Aeroplan® Visa* Card for Students","STUDENT CARDS","$0","20.99%","22.99% non-Quebec residents 21.99% Quebec residents","1 point per $1 directly with Air Canada and Air Canada Vacations®, 2 1 point per $1 on eligible gas, electric vehicle charging and groceries2 Preferred pricing4 | Earn points twice at over 170 retailers3","https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aeroplan-visa-for-students.html"
"CIBC Dividend® Visa Infinite* Card","CASH BACK CARDS","$120","20.99%","22.99%  non-Quebec residents 21.99%  Quebec residents","4% cash back on eligible gas, electric vehicle charging and groceries3 2% cash back on eligible transportation, dining and recurring payments3 Mobile Device Insurance5 | Save on gas | Visa* concierge services6","https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/dividend-visa-infinite-card.html"
