Card Name,Annual Fee,Interest Rate,Benefits
"CIBC Aventura® Visa Infinite* Card about the CIBC Aventura Visa Infinite Card.","$139","RDS%rate[2].VWVA.Published(null,null,6,null)(#O2#)%","2 points per $1 on travel booked through the CIBC Rewards Centre4"
"CIBC Aeroplan® Visa Infinite* Card about the CIBC Aeroplan Visa Infinite Card.","$139","RDS%rate[2].VWIAG.Published(null,null,6,null)(#O2#)%","1.5 points per $1 on eligible gas, electric vehicle charging, grocery and drugstore purchases5"
"CIBC Aventura® Visa Infinite Privilege* Card about the CIBC Aventura Visa Infinite Privilege Card.","$499","RDS%rate[2].VWPAV.Published(null,null,6,null)(#O2#)%","Lounge access2"
"CIBC Aeroplan® Visa Infinite Privilege* Card about the CIBC Aeroplan Visa Infinite Privilege Card.","$599","RDS%rate[2].VWPAG.Published(null,null,6,null)(#O2#)%","1.5 points per $1 directly with Air Canada® and Air Canada Vacations®, 3"
"CIBC Aventura® Gold Visa* Card about the CIBC Aventura Gold Visa Card","$139","RDS%rate[2].VGLIS.Published(null,null,6,null)(#O2#)%","1.5 points per $1 on eligible gas, electric vehicle charging and groceries3"
"CIBC Aventura® Visa* Card about the CIBC Aventura Visa Card.","$0","RDS%rate[2].VSAVC.Published(null,null,6,null)(#O2#)%","First bag free1, 6"
"CIBC Aeroplan® Visa* Card about the CIBC Aeroplan Visa Card.","$0","RDS%rate[2].VSARO.Published(null,null,6,null)(#O2#)%","3 points per $1 on travel booked through the CIBC Rewards Centre7"
"CIBC Aventura® Visa* Card for Students about the CIBC Aventura Visa Card for Students.","$0","RDS%rate[2].VSAVC.Published(null,null,6,null)(#O2#)%","2 points on eligible dining, transportation, gas, electric vehicle charging and groceries8"
"CIBC Aeroplan® Visa* Card for Students about the CIBC Aeroplan Visa Card for Students.","$0","RDS%rate[2].VSARO.Published(null,null,6,null)(#O2#)%","Annual travel credit3"
"CIBC Dividend® Visa Infinite* Card about the CIBC Dividend Visa Infinite Card.","$120","RDS%rate[2].VWDIV.Published(null,null,6,null)(#O2#)%","2 points per $1 directly with Air Canada® and Air Canada Vacations®, 4"
"CIBC Dividend Platinum® Visa* Card about the CIBC Dividend Platinum Visa Card.","$99","RDS%rate[2].VPDIV.Published(null,null,6,null)(#O2#)%","1.5 points per $1 on eligible gas, electric vehicle charging, groceries, travel and dining4"
"CIBC Dividend® Visa* Card about the CIBC Dividend Visa Card.","$0","RDS%rate[2].VSDIV.Published(null,null,6,null)(#O2#)%","Lounge access6, 8"
"CIBC Dividend® Visa* Card for Students about the CIBC Dividend Visa Card for Students.","$0","RDS%rate[2].VSDIV.Published(null,null,6,null)(#O2#)%","2 points per $1 on travel booked through the CIBC Rewards Centre5"
"CIBC Costco Mastercard® about the CIBC Costco Mastercard.","$0","RDS%rate[2].MPCOS.Published(null,null,6,null)(#O2#)%","1.5 points per $1 on eligible gas, electric vehicle charging, grocery and drugstore purchases6"
"CIBC U.S. Dollar Aventura® Gold Visa* Card about the CIBC U.S. Dollar Aventura Gold Visa Card.","$35 US","RDS%rate[2].VSUSD.Published(null,null,6,null)(#O2#)%","Lounge access3"
"CIBC Select Visa* Card about the CIBC Select Visa Card.","$29","RDS%rate[2].VSSEL.Published(null,null,6,null)(#O2#)%","1 point per $1 on travel booked through the CIBC Rewards Centre4"
"CIBC Aventura® Visa* Card for Business about the CIBC Aventura Visa Card for Business.","$180","12.99%","1 point per $1 on eligible gas, electric vehicle charging, grocery and drugstore purchases3"
"CIBC Aeroplan® Visa* Business Card about the CIBC Aeroplan Visa Business Card.","$180","RDS%rate[2].VSASB.Published(null,null,7,null)(#O2#)%","Book travel with personalized assistance6"
"CIBC Costco Business Mastercard® about the CIBC Costco Business Mastercard.","$0","RDS%rate[2].MBCOS.Published(null,null,6,null)(#O2#)%","1 point per $1 directly with Air Canada® and Air Canada Vacations®, 2"
"CIBC Aventura® Visa* Card for Business Plus about the CIBC Aventura Visa Card for Business Plus.","$1202, 3","19.99%","1 point per $1 on eligible gas, electric vehicle charging and groceries2"
"CIBC Aeroplan® Visa* Business Plus Card about the CIBC Aeroplan Visa Business Plus Card.","$120","19.99%","Preferred pricing4"
"CIBC bizline® Visa* Card about the CIBC bizline Visa Card.","$0","RDS%rate[2].VBBIZ.Published(null,null,22,null)(#R#)%","1 point per $1 on travel booked through the CIBC Rewards Centre4"
"CIBC Corporate Classic Plus Visa* Card about the CIBC Corporate Classic Plus Visa Card.","$202","19.99%","1 point per $1 on eligible gas, electric vehicle charging, grocery and drugstore purchases3"
"CIBC Classic Visa* Card about the CIBC Classic Visa Card.","$0","RDS%rate[2].VSREG.Published(null,null,6,null)(#O2#)%","Free SPC+ membership◇"
"CIBC Classic Visa* Card for Students about the CIBC Classic Visa Card for Students.","$0","RDS%rate[2].VSREG.Published(null,null,6,null)(#O2#)%","1 point per $1 directly with Air Canada and Air Canada Vacations®, 2"
"American Express® Cobalt Card","$100.00","*Some Conditions Apply*","More details..."
"Scotiabank Passport® Visa Infinite* Card","$125.00","*Some Conditions Apply*","More details..."
"TD First Class Travel® Visa Infinite* Card","$100.00","*Some Conditions Apply*","More details..."
"TD® Aeroplan® Visa Infinite* Card","$100.00","*Some Conditions Apply*","More details..."
"RBC® Avion Visa Infinite","$125.00","*Some Conditions Apply*","More details..."
