Card Name	Cardtype	Annual Fee	Purchase Interest Rate	Additional Feature
CIBC Aventura® Visa Infinite* Card	Visa Card	$139	No Interest Rates	2 points per $1 on travel booked through the CIBC Rewards Centre4
CIBC Aeroplan® Visa Infinite* Card	Visa Card	$139	No Interest Rates	1.5 points per $1 on eligible gas, electric vehicle charging, grocery and drugstore purchases5
CIBC Aventura® Visa Infinite Privilege* Card	Visa Card	$499	No Interest Rates	1.5 points per $1 directly with Air Canada® and Air Canada Vacations®, 3
CIBC Aeroplan® Visa Infinite Privilege* Card	Visa Card	$599	No Interest Rates	1.5 points per $1 on eligible gas, electric vehicle charging and groceries3
CIBC Aventura® Gold Visa* Card	Visa Card	$139	No Interest Rates	3 points per $1 on travel booked through the CIBC Rewards Centre7
CIBC Aventura® Visa* Card	Visa Card	$0	No Interest Rates	2 points on eligible dining, transportation, gas, electric vehicle charging and groceries8
CIBC Aeroplan® Visa* Card	Visa Card	$0	No Interest Rates	2 points per $1 directly with Air Canada® and Air Canada Vacations®, 4
CIBC Aventura® Visa* Card for Students	Visa Card	$0	No Interest Rates	1.5 points per $1 on eligible gas, electric vehicle charging, groceries, travel and dining4
CIBC Aeroplan® Visa* Card for Students	Visa Card	$0	No Interest Rates	2 points per $1 on travel booked through the CIBC Rewards Centre5
CIBC Dividend® Visa Infinite* Card	Visa Card	$120	No Interest Rates	1.5 points per $1 on eligible gas, electric vehicle charging, grocery and drugstore purchases6
CIBC Dividend Platinum® Visa* Card	Visa Card	$99	No Interest Rates	Preferred pricing4 | Earn points twice at over 170 retailers3
CIBC Dividend® Visa* Card	Visa Card	$0	No Interest Rates	Preferred pricing4 | Earn points twice at over 170 retailers3
CIBC Dividend® Visa* Card for Students	Visa Card	$0	No Interest Rates	2 points per $1 on travel booked through the CIBC Rewards Centre3
CIBC Costco Mastercard®	MasterCard	$0	No Interest Rates	1.5 points per $1 on eligible gas, electric vehicle charging, flights, hotels and other travel4
CIBC U.S. Dollar Aventura® Gold Visa* Card	Visa Card	$35 US	No Interest Rates	Transfer Aventura points between accounts9
CIBC Select Visa* Card	Visa Card	$29	No Interest Rates	2 points per $1 directly with Air Canada® and Air Canada Vacations®, 2
CIBC Aventura® Visa* Card for Business	Visa Card	$180	No Interest Rates	1.5 points per $1 on internet, cable, travel, dining and more2
CIBC Aeroplan® Visa* Business Card	Visa Card	$180	No Interest Rates	2 points per $1 on travel booked through the CIBC Rewards Centre5
CIBC Costco Business Mastercard®	MasterCard	$0	No Interest Rates	1.5 points per $1 on eligible gas, electric vehicle charging and travel purchases6
CIBC Aventura® Visa* Card for Business Plus	Visa Card	$1202, 3	No Interest Rates	Transfer Aventura points between accounts12
CIBC Aeroplan® Visa* Business Plus Card	Visa Card	$120	No Interest Rates	2 points per $1 directly with Air Canada® and Air Canada Vacations®, 3
CIBC bizline® Visa* Card	Visa Card	$0	No Interest Rates	1.5 points per $1 on internet, cable, travel, dining and more3
CIBC Corporate Classic Plus Visa* Card	Visa Card	$202	No Interest Rates	No Additional Features
CIBC Classic Visa* Card	Visa Card	$0	No Interest Rates	No Additional Features
