Card Name	Cardtype	Annual Fee	Purchase Interest Rate	Additional Feature
Scotiabank Passport® Visa Infinite* Card	American Card	$150	Interest rates 19.99% purchases 22.99% cash advances	Earn up to $1,1003 in value in the first 12 months, including up to 35,000 bonus Scene+ points.4
Scotiabank Gold American Express® Card	American Express	$120	Interest rates 19.99% purchases 22.99% cash advances	You could earn Up to 3X the points5
Scotia Momentum® Visa Infinite* Card	Visa Card	$120	Interest rates 20.99% purchases 22.99% cash advances	Earn up to $9501 in value in the first 12 months, including up to 45,000 bonus Scene+ points and your first annual fee waived.2
Scotiabank Passport® Visa Infinite* Card	Visa Card	$150	20.99%	You could earn Up to 6X the points6
Scotiabank Gold American Express® Card	American Express	$120	22.99%	Earn 10% cash back on all purchases for the first 3 months (up to $2,000 in total purchases).7 Plus, pay no annual fee in your first year.7
Scotiabank American Express® Card	American Express	$0	20.99%	You could earn Up to 4% cash back8
Scotia Momentum® Visa Infinite* Card	Visa Card	$120	22.99%	Earn up to $1,1003 in value in the first 12 months, including up to 35,000 bonus Scene+ points.4
Scotia Momentum® Visa*  Card	Visa Card	$39	20.99%	You could earn Up to 3X the points5
Scotia Momentum® No-Fee Visa* Card	Visa Card	$0	22.99%	Earn up to $9501 in value in the first 12 months, including up to 45,000 bonus Scene+ points and your first annual fee waived.2
Scotiabank® Scene+TM Visa* Card	Visa Card	$0	20.99%	You could earn Up to 6X the points6
Scotiabank Passport® Visa Infinite* Card	Visa Card	$150	22.99%	Earn up to 5,000 bonus Scene+ points in your first 3 months. That’s up to $50 towards your next trip.9
Scotiabank Gold American Express® Card	American Express	$120	20.99%	You could earn Up to 3X the points10
Scotiabank® Scene+TM Visa* Card (for students)	Visa Card	$0	22.99%	Earn 10% cash back on all purchases for the first 3 months (up to $2,000 in total purchases).7 Plus, pay no annual fee in your first year.7
Scotia Momentum® No-Fee Visa* Card (for students)	Visa Card	$0	19.99%	You could earn Up to 4% cash back8
Scotia Momentum® Visa* Card (for students)	Visa Card	$39	22.99%	You could earn Up to 2% cash back12
Scotiabank® Scene+TM Visa* Card	Visa Card	$0	20.99%	Earn 5% cash back on all your purchases in the first 3 months (up to $2,000 in total purchases).13 Plus, get a 0% interest rate on balance transfers for the first 6 months.13
Scotia Momentum® No-Fee Visa* Card	Visa Card	$0	22.99%	You could earn Up to 1% cash back14
Scotiabank American Express® Card	American Express	$0	19.99%	Earn up to 7,500 bonus Scene+ points within your first 3 months.15
